Börsvärde
Antal Aktier
Justera
Q1 2026
2 275
"11,3"
Q4 2025
2 043
"11,3"
Q3 2025
2 479
"11,3"
Q2 2025
3 147
"11,3"
Q1 2025
2 479
"11,3"
Q4 2024
3 011
"11,3"
Q3 2024
2 932
"11,3"
Q2 2024
3 600
"11,3"
Q1 2024
4 075
"11,3"
Q4 2023
3 917
"11,3"
Q3 2023
4 528
"11,3"
Q2 2023
4 234
"11,3"
Q1 2023
4 596
"11,3"
Q4 2022
4 981
"11,3"
Q3 2022
4 619
"11,3"
Q2 2022
4 041
"11,3"
Q1 2022
3 724
"11,3"
Q4 2021
4 392
"11,3"
Q3 2021
5 173
"11,3"
Q2 2021
4 981
"11,3"
Q1 2021
4 845
"11,3"
Q4 2020
4 460
"11,3"
Q3 2020
4 290
"11,3"
Q2 2020
4 041
"11,3"
Q1 2020
4 053
"11,3"
Q4 2019
3 622
"11,3"
Q3 2019
4 754
"11,3"
Q2 2019
4 811
"11,3"
Q1 2019
4 868
"11,3"
Q4 2018
3 939
"11,3"
Q3 2018
2 581
"11,3"
Q2 2018
2 830
"11,3"
Q1 2018
2 106
"11,3"
Q4 2017
1 426
"11,3"
Q3 2017
1 268
"11,3"
