Börsvärde
Antal Aktier
Justera
Q3 2026
10 009
"96,1"
Q2 2026
9 831
"99,2"
Q1 2026
9 811
"99,2"
Q4 2025
9 751
"99,2"
Q3 2025
8 654
106
Q2 2025
8 485
106
Q1 2025
7 142
106
Q4 2024
7 163
106
Q3 2024
5 470
106
Q2 2024
5 136
106
Q1 2024
5 470
106
Q4 2023
4 947
106
Q3 2023
5 248
106
Q2 2023
5 235
106
Q1 2023
4 761
106
Q4 2022
4 969
106
Q3 2022
4 890
106
Q2 2022
5 425
105
Q1 2022
5 783
105
Q4 2021
6 498
105
Q3 2021
8 506
105
Q2 2021
8 748
105
Q1 2021
8 643
105
Q4 2020
7 665
105
Q3 2020
6 487
105
Q2 2020
4 695
105
Q1 2020
5 804
105
Q4 2019
4 763
105
Q3 2019
5 499
105
Q2 2019
5 467
105
Q1 2019
4 132
105
Q4 2018
5 183
105
Q3 2018
5 110
105
Q2 2018
5 720
105
Q1 2018
6 093
"94,1"
Q4 2017
6 117
"94,1"
Q3 2017
5 387
"94,1"
Q2 2017
5 105
"94,1"
Q1 2017
4 705
"94,1"
Q4 2016
6 140
"94,1"
