Börsvärde
Antal Aktier
Justera
Q1 2026
6 496
"50,9"
Q4 2025
6 492
"50,5"
Q3 2025
6 472
"50,5"
Q2 2025
5 654
"50,5"
Q1 2025
5 674
"50,5"
Q4 2024
7 007
"50,5"
Q3 2024
6 219
"50,5"
Q2 2024
7 148
"50,5"
Q1 2024
7 249
"50,5"
Q4 2023
7 774
"50,5"
Q3 2023
6 260
"50,5"
Q2 2023
5 169
"50,5"
Q1 2023
5 543
"50,5"
Q4 2022
5 906
"50,5"
Q3 2022
4 003
"50,5"
Q2 2022
3 953
"50,5"
Q1 2022
5 172
"50,9"
Q4 2021
7 562
"50,5"
Q3 2021
9 692
"50,5"
Q2 2021
9 961
"50,4"
Q1 2021
8 439
"50,4"
Q4 2020
4 320
"27,9"
Q3 2020
3 963
"27,9"
Q2 2020
3 896
"27,9"
Q1 2020
3 243
"27,9"
Q4 2019
1 809
"27,9"
Q3 2019
3 266
28
Q2 2019
2 742
28
Q1 2019
3 249
28
Q4 2018
2 616
28
Q3 2018
2 275
"28,3"
Q2 2018
3 182
"28,3"
Q1 2018
3 126
"28,3"
Q4 2017
2 826
"28,3"
