Börsvärde
Antal Aktier
Justera
Q2 2026
1 091
21
Q1 2026
896
21
Q4 2025
887
21
Q3 2025
1 079
21
Q2 2025
1 117
21
Q1 2025
1 301
21
Q4 2024
1 362
21
Q3 2024
1 526
21
Q2 2024
1 448
21
Q1 2024
1 753
21
Q4 2023
1 543
21
Q3 2023
1 679
21
Q2 2023
1 463
21
Q1 2023
2 047
21
Q4 2022
1 788
21
Q3 2022
1 249
21
Q2 2022
1 098
21
Q1 2022
1 364
21
Q4 2021
1 427
21
Q3 2021
1 929
21
Q2 2021
1 803
21
Q1 2021
2 175
21
Q4 2020
2 165
"20,8"
Q3 2020
1 895
"20,8"
Q2 2020
1 401
"20,7"
Q1 2020
1 117
"20,4"
Q4 2019
774
20
Q3 2019
1 584
"20,1"
Q2 2019
1 258
"20,1"
Q1 2019
1 467
"20,1"
Q4 2018
1 615
"20,3"
Q3 2018
1 796
"20,4"
Q2 2018
2 183
"20,4"
Q1 2018
2 126
"20,4"
Q4 2017
2 280
"20,4"
Q3 2017
2 494
"20,4"
Q2 2017
2 565
"20,4"
Q1 2017
2 484
"20,4"
Q4 2016
2 235
"20,4"
Q3 2016
1 837
"20,4"
Q2 2016
1 904
"20,4"
Q1 2016
1 680
"20,4"
