"Börsdata ID","Bolagsnamn","Info - Ticker","Info - Yahoo","Info - Sektor","Info - Bransch","Info - Lista","Info - Land","Info - Not.datum","Info - Kursvaluta","Info - Rapportvaluta"
"2481","ABAS Protect","ABAS","ABAS.ST","Industri","Installation & VVS","Spotlight","Sverige","2022-11-01","SEK","SEK"
"437","Absolent Air Care","ABSO","ABSO.ST","Industri","Installation & VVS","First North","Sverige","2014-10-16","SEK","SEK"
"1323","AcadeMedia","ACAD","ACAD.ST","Industri","Utbildning","Mid Cap","Sverige","2016-06-15","SEK","SEK"
"1572","Acconeer","ACCON","ACCON.ST","Industri","Mätning & Analys","First North","Sverige","2017-12-11","SEK","SEK"
"1326","Acuvi","ACUVI","ACUVI.ST","Industri","Elektroniska komponenter","First North","Sverige","2016-06-09","SEK","SEK"
"1411","Aerowash","AERW B","AERW-B.ST","Industri","Stödtjänster & Service","Spotlight","Sverige","2017-02-17","SEK","SEK"
"395","Ages Industri","AGES B","AGES-B.ST","Industri","Industrikomponenter","First North","Sverige","2014-05-16","SEK","SEK"
"1395","Aino Health","AINO","AINO.ST","Industri","Stödtjänster & Service","First North","Sverige","2016-12-16","SEK","SEK"
"1358","Alcadon Group","ALCA","ALCA.ST","Industri","Elektroniska komponenter","First North","Sverige","2016-09-14","SEK","SEK"
"1477","Alligo","ALLIGO B","ALLIGO-B.ST","Industri","Industrikomponenter","Mid Cap","Sverige","2017-06-21","SEK","SEK"
"1891","Amido","AMIDO","AMIDO.ST","Industri","Säkerhet","Spotlight","Sverige","2019-12-02","SEK","SEK"
"2613","APR Technologies","APRTEC","APRTEC.ST","Industri","Elektroniska komponenter","Spotlight","Sverige","2026-01-13","SEK","SEK"
"2608","Arctic Falls","ARFA","ARFA.ST","Industri","Stödtjänster & Service","First North","Sverige","2025-12-11","SEK","SEK"
"2147","Arla Plast","ARPL","ARPL.ST","Industri","Byggmaterial","Small Cap","Sverige","2021-05-25","SEK","SEK"
"1754","Axolot Solutions","AXOLOT","AXOLOT.ST","Industri","Energi & Återvinning","First North","Sverige","2018-11-21","SEK","SEK"
"1517","Balco Group","BALCO","BALCO.ST","Industri","Byggmaterial","Small Cap","Sverige","2017-10-06","SEK","SEK"
"2376","Bawat Water","BAWAT","BAWAT.ST","Industri","Sjöfart & Rederi","First North","Sverige","2022-03-28","SEK","SEK"
"27","BE Group","BEGR","BEGR.ST","Industri","Industrikomponenter","Small Cap","Sverige","2006-11-24","SEK","SEK"
"26","Bergman & Beving","BERG B","BERG-B.ST","Industri","Industrikomponenter","Mid Cap","Sverige","1987-01-01","SEK","SEK"
"436","Berner Industrier","BERNER B","BERNER-B.ST","Industri","Industrikomponenter","Small Cap","Sverige","2014-10-20","SEK","SEK"
"2006","BoMill","BOMILL","BOMILL.ST","Industri","Mätning & Analys","First North","Sverige","2020-10-20","SEK","SEK"
"43","BTS Group","BTS B","BTS-B.ST","Industri","Affärskonsulter","Mid Cap","Sverige","2001-06-06","SEK","SEK"
"254","Bulten","BULTEN","BULTEN.ST","Industri","Industrikomponenter","Small Cap","Sverige","2011-05-20","SEK","SEK"
"1379","Byggpartner","BYGGP","BYGGP.ST","Industri","Byggnation & Infrastruktur","First North","Sverige","2016-12-05","SEK","SEK"
"248","Cavotec","CCC","CCC.ST","Industri","Industrimaskiner","Mid Cap","Sverige","2011-10-19","SEK","EUR"
"2148","Cedergrenska","CEDER","CEDER.ST","Industri","Utbildning","First North","Sverige","2021-05-25","SEK","SEK"
"387","Cell Impact","CI","CI.ST","Industri","Industrimaskiner","First North","Sverige","2013-02-20","SEK","SEK"
"2049","CirChem","CIRCHE","CIRCHE.ST","Industri","Energi & Återvinning","First North","Sverige","2020-12-09","SEK","SEK"
"741","Coor Service Management","COOR","COOR.ST","Industri","Stödtjänster & Service","Mid Cap","Sverige","2015-06-16","SEK","SEK"
"2253","CTEK","CTEK","CTEK.ST","Industri","Elektroniska komponenter","Small Cap","Sverige","2021-09-24","SEK","SEK"
"58","CTT Systems","CTT","CTT.ST","Industri","Installation & VVS","Mid Cap","Sverige","1997-11-11","SEK","SEK"
"245","Dedicare","DEDI","DEDI.ST","Industri","Bemanning","Small Cap","Sverige","2011-05-04","SEK","SEK"
"66","Duroc","DURC B","DURC-B.ST","Industri","Industrikomponenter","Small Cap","Sverige","1996-10-23","SEK","SEK"
"509","EasyFill","EASY B","EASY-B.ST","Industri","Bygginredning","Spotlight","Sverige","2007-05-22","SEK","SEK"
"1432","EatGood","EATG","EATG.ST","Industri","Industrimaskiner","Spotlight","Sverige","2017-03-27","SEK","SEK"
"498","EcoRub","ECO B","ECO-B.ST","Industri","Energi & Återvinning","Spotlight","Sverige","2010-06-11","SEK","SEK"
"596","Eltel","ELTEL","ELTEL.ST","Industri","Installation & VVS","Small Cap","Sverige","2015-02-06","SEK","EUR"
"465","Envirologic","ENVI B","ENVI-B.ST","Industri","Industrimaskiner","Spotlight","Sverige","2014-04-22","SEK","SEK"
"1973","ES Group","ESGR B","ESGR-B.ST","Industri","Energi & Återvinning","First North","Sverige","2020-09-30","SEK","SEK"
"81","Fagerhult","FAG","FAG.ST","Industri","Bygginredning","Mid Cap","Sverige","1997-05-13","SEK","SEK"
"2046","Fasadgruppen","FG","FG.ST","Industri","Byggmaterial","Mid Cap","Sverige","2020-12-09","SEK","SEK"
