Börsvärde
Antal Aktier
Justera
Q1 2026
1 232
107
Q4 2025
1 270
107
Q3 2025
1 456
107
Q2 2025
1 803
107
Q1 2025
1 782
107
Q4 2024
1 889
107
Q3 2024
1 803
107
Q2 2024
2 241
107
Q1 2024
2 091
107
Q4 2023
1 686
107
Q3 2023
1 489
103
Q2 2023
1 504
103
Q1 2023
1 260
"96,2"
Q4 2022
1 220
"94,2"
Q3 2022
1 272
"94,2"
Q2 2022
1 343
"94,2"
Q1 2022
1 569
"94,2"
Q4 2021
1 093
"94,2"
Q3 2021
1 885
"94,2"
Q2 2021
2 083
"94,2"
Q1 2021
2 262
"94,2"
Q4 2020
2 092
"94,2"
Q3 2020
2 007
"94,2"
Q2 2020
1 842
"94,2"
Q1 2020
1 758
"94,2"
Q4 2019
1 283
94
Q3 2019
1 749
94
Q2 2019
1 170
94
Q1 2019
1 199
94
Q4 2018
921
"79,1"
Q3 2018
1 039
"78,5"
Q2 2018
1 804
"78,5"
Q1 2018
1 851
"78,5"
Q4 2017
1 694
"78,4"
Q3 2017
1 819
"78,4"
Q2 2017
2 133
"78,4"
Q1 2017
2 377
"78,4"
Q4 2016
1 851
"78,4"
Q3 2016
1 687
"78,5"
Q2 2016
1 978
"78,5"
Q1 2016
1 797
"78,5"
