Börsvärde
Antal Aktier
Justera
Q2 2026
4 879
"94,9"
Q1 2026
4 794
"94,9"
Q4 2025
5 629
"94,9"
Q3 2025
4 672
"94,9"
Q2 2025
4 519
"94,9"
Q1 2025
3 897
"94,9"
Q4 2024
3 326
"94,9"
Q3 2024
3 258
95
Q2 2024
4 347
95
Q1 2024
4 447
95
Q4 2023
4 764
95
Q3 2023
4 143
95
Q2 2023
4 218
95
Q1 2023
4 996
95
Q4 2022
6 156
"95,2"
Q3 2022
6 237
"95,2"
Q2 2022
6 994
"95,2"
Q1 2022
7 618
"95,2"
Q4 2021
7 451
"95,2"
Q3 2021
7 971
"95,8"
Q2 2021
7 780
"95,8"
Q1 2021
6 544
"95,8"
Q4 2020
6 716
"95,8"
Q3 2020
7 013
"95,8"
Q2 2020
5 950
"95,8"
Q1 2020
5 844
"95,8"
Q4 2019
4 115
"95,8"
Q3 2019
7 952
"95,8"
Q2 2019
7 789
"95,8"
Q1 2019
8 220
"95,8"
Q4 2018
7 933
"95,8"
Q3 2018
6 745
"95,8"
Q2 2018
6 803
"95,8"
Q1 2018
5 998
"95,8"
Q4 2017
6 410
"95,8"
Q3 2017
5 988
"95,8"
Q2 2017
5 557
"95,8"
Q1 2017
5 749
"95,8"
Q4 2016
5 365
"95,8"
Q3 2016
4 862
"95,8"
Q2 2016
5 437
"95,8"
Q1 2016
3 852
"95,8"
