Börsvärde
Antal Aktier
Justera
Q1 2026
1 566
"12,5"
Q4 2025
1 534
"12,5"
Q3 2025
2 496
"12,5"
Q2 2025
2 706
"12,5"
Q1 2025
2 782
"12,5"
Q4 2024
2 681
"12,5"
Q3 2024
3 496
"12,5"
Q2 2024
3 446
"12,5"
Q1 2024
4 047
"12,5"
Q4 2023
4 160
"12,5"
Q3 2023
2 869
"12,5"
Q2 2023
2 769
"12,5"
Q1 2023
2 606
"12,5"
Q4 2022
2 418
"12,5"
Q3 2022
2 675
"12,5"
Q2 2022
2 456
"12,5"
Q1 2022
2 468
"12,5"
Q4 2021
2 491
"12,5"
Q3 2021
2 706
"12,5"
Q2 2021
2 587
"12,5"
Q1 2021
2 556
"12,5"
Q4 2020
1 955
"12,5"
Q3 2020
1 915
"12,5"
Q2 2020
1 584
"12,5"
Q1 2020
1 930
"12,5"
Q4 2019
1 960
"12,5"
Q3 2019
2 205
"12,5"
Q2 2019
1 927
"12,5"
Q1 2019
2 173
"12,5"
Q4 2018
1 877
"12,5"
Q3 2018
1 544
"12,5"
Q2 2018
2 418
"12,5"
Q1 2018
2 788
"12,5"
Q4 2017
1 900
"12,5"
Q3 2017
2 093
"12,5"
Q2 2017
1 807
"12,5"
Q1 2017
1 848
"12,5"
Q4 2016
1 867
"12,5"
Q3 2016
1 338
"12,5"
Q2 2016
1 046
"12,5"
Q1 2016
852
"12,5"
