Börsvärde
Antal Aktier
Justera
Q1 2026
1 904
157
Q4 2025
1 298
157
Q3 2025
1 436
157
Q2 2025
1 429
157
Q1 2025
1 533
157
Q4 2024
1 160
157
Q3 2024
1 009
157
Q2 2024
1 160
157
Q1 2024
1 185
157
Q4 2023
1 132
157
Q3 2023
1 050
157
Q2 2023
1 072
157
Q1 2023
1 160
157
Q4 2022
1 303
157
Q3 2022
1 299
157
Q2 2022
1 018
157
Q1 2022
1 249
157
Q4 2021
1 960
157
Q3 2021
2 442
157
Q2 2021
2 871
157
Q1 2021
3 483
157
Q4 2020
4 180
157
Q3 2020
3 523
157
Q2 2020
3 319
157
Q1 2020
3 131
157
Q4 2019
2 502
157
Q3 2019
2 981
157
Q2 2019
3 288
157
Q1 2019
3 679
157
Q4 2018
2 704
157
Q3 2018
2 004
157
Q2 2018
3 285
157
Q1 2018
3 523
157
Q4 2017
3 422
132
Q3 2017
3 558
123
Q2 2017
2 764
105
Q1 2017
1 816
"62,6"
Q4 2016
3 444
"62,6"
Q3 2016
3 914
"62,6"
Q2 2016
5 338
"62,6"
Q1 2016
5 479
"62,6"
