Börsvärde
Antal Aktier
Justera
Q1 2026
3 128
176
Q4 2025
4 787
176
Q3 2025
7 327
176
Q2 2025
7 309
176
Q1 2025
7 379
176
Q4 2024
7 538
176
Q3 2024
9 530
176
Q2 2024
11 626
176
Q1 2024
12 119
176
Q4 2023
13 017
176
Q3 2023
11 626
176
Q2 2023
9 036
176
Q1 2023
11 873
176
Q4 2022
10 727
176
Q3 2022
7 275
176
Q2 2022
6 526
176
Q1 2022
8 102
176
Q4 2021
9 247
176
Q3 2021
10 621
176
Q2 2021
11 801
176
Q1 2021
12 083
176
Q4 2020
8 684
176
Q3 2020
8 120
176
Q2 2020
7 565
176
Q1 2020
6 059
176
Q4 2019
5 533
153
Q3 2019
8 841
146
Q2 2019
7 209
135
Q1 2019
7 387
120
Q4 2018
8 175
115
Q3 2018
8 713
115
Q2 2018
9 274
114
Q1 2018
8 781
114
Q4 2017
11 656
114
Q3 2017
11 484
114
Q2 2017
13 304
114
Q1 2017
14 315
114
Q4 2016
12 341
114
Q3 2016
8 815
114
Q2 2016
8 906
114
Q1 2016
6 815
114
