Börsvärde
Antal Aktier
Justera
Q1 2026
1 058
"53,7"
Q4 2025
1 034
"53,7"
Q3 2025
1 663
"53,7"
Q2 2025
1 886
"53,7"
Q1 2025
1 647
"53,7"
Q4 2024
958
"50,6"
Q3 2024
2 277
"49,5"
Q2 2024
2 040
"49,5"
Q1 2024
3 070
"49,5"
Q4 2023
3 603
"49,6"
Q3 2023
3 488
"49,6"
Q2 2023
2 858
"49,6"
Q1 2023
4 084
"49,6"
Q4 2022
4 962
"49,6"
Q3 2022
4 938
"47,9"
Q2 2022
3 826
"47,4"
Q1 2022
3 966
"46,2"
Q4 2021
6 937
"45,3"
Q3 2021
7 708
"45,3"
Q2 2021
7 483
"45,1"
Q1 2021
5 722
"45,1"
Q4 2020
3 828
"33,9"
