Börsvärde
Antal Aktier
Justera
Q1 2026
3 216
"42,3"
Q4 2025
3 563
"42,3"
Q3 2025
2 792
"42,3"
Q2 2025
2 259
"42,3"
Q1 2025
2 522
"42,3"
Q4 2024
2 090
"42,3"
Q3 2024
2 175
"42,3"
Q2 2024
2 158
"42,3"
Q1 2024
2 226
"42,3"
Q4 2023
2 234
"42,3"
Q3 2023
2 327
"42,3"
Q2 2023
1 934
"42,3"
Q1 2023
2 268
"42,3"
Q4 2022
2 412
"42,3"
Q3 2022
2 517
"42,3"
Q2 2022
2 090
"42,3"
Q1 2022
2 355
"42,4"
Q4 2021
3 353
"42,3"
Q3 2021
3 546
"42,2"
Q2 2021
3 414
"42,2"
Q1 2021
2 468
42
Q4 2020
2 676
"41,7"
Q3 2020
2 419
"41,7"
Q2 2020
1 661
"41,7"
Q1 2020
1 276
"41,7"
Q4 2019
1 047
"41,1"
Q3 2019
1 338
"41,1"
Q2 2019
1 108
"40,8"
Q1 2019
1 279
"40,4"
Q4 2018
1 074
"40,4"
Q3 2018
999
"40,4"
Q2 2018
945
"40,4"
Q1 2018
964
"40,4"
Q4 2017
1 043
"38,7"
Q3 2017
1 125
"38,2"
Q2 2017
1 139
"37,1"
