Börsvärde
Antal Aktier
Justera
Q1 2026
557
50
Q4 2025
559
50
Q3 2025
856
50
Q2 2025
930
50
Q1 2025
972
50
Q4 2024
996
50
Q3 2024
1 163
50
Q2 2024
1 138
50
Q1 2024
1 338
50
Q4 2023
1 675
50
Q3 2023
2 176
50
Q2 2023
1 905
50
Q1 2023
3 008
50
Q4 2022
3 743
50
Q3 2022
5 500
50
Q2 2022
4 780
50
Q1 2022
6 495
50
Q4 2021
7 920
50
Q3 2021
10 750
50
Q2 2021
9 110
50
Q1 2021
5 850
50
Q4 2020
5 650
50
Q3 2020
6 220
50
Q2 2020
4 890
50
Q1 2020
3 270
50
Q4 2019
2 700
50
Q3 2019
3 100
50
Q2 2019
3 120
50
Q1 2019
3 205
50
Q4 2018
2 095
50
Q3 2018
1 736
50
Q2 2018
1 632
50
Q1 2018
1 718
50
Q4 2017
1 602
50
Q3 2017
1 755
50
Q2 2017
2 445
50
Q1 2017
2 365
50
Q4 2016
2 520
50
Q3 2016
1 635
50
Q2 2016
1 800
50
Q1 2016
1 620
50
