Börsvärde
Antal Aktier
Justera
Q1 2026
1 500
"56,8"
Q4 2025
2 352
"56,8"
Q3 2025
2 596
"56,8"
Q2 2025
2 971
"56,8"
Q1 2025
3 652
"56,8"
Q4 2024
3 652
"56,8"
Q3 2024
3 899
"55,4"
Q2 2024
4 487
"55,4"
Q1 2024
4 376
"55,4"
Q4 2023
4 199
"55,4"
Q3 2023
3 894
"55,4"
Q2 2023
3 739
"55,4"
Q1 2023
4 165
"55,4"
Q4 2022
4 210
"55,4"
Q3 2022
3 453
"53,5"
Q2 2022
2 988
"52,2"
Q1 2022
3 385
"52,2"
Q4 2021
4 641
"52,2"
Q3 2021
4 631
"52,2"
Q2 2021
3 790
"47,7"
Q1 2021
3 713
"47,7"
Q4 2020
2 172
"46,2"
Q3 2020
1 825
"46,2"
Q2 2020
1 218
"35,5"
Q1 2020
824
"35,5"
Q4 2019
848
"35,5"
Q3 2019
1 310
"35,5"
Q2 2019
1 111
"35,5"
Q1 2019
1 306
"35,5"
Q4 2018
1 079
"35,5"
Q3 2018
1 028
"35,5"
Q2 2018
1 022
"35,5"
Q1 2018
916
"35,5"
