Börsvärde
Antal Aktier
Justera
Q1 2026
10 374
269
Q4 2025
8 278
269
Q3 2025
6 956
269
Q2 2025
6 786
267
Q1 2025
6 565
265
Q4 2024
8 288
264
Q3 2024
8 705
264
Q2 2024
11 436
264
Q1 2024
10 712
264
Q4 2023
11 167
264
Q3 2023
10 802
264
Q2 2023
8 501
262
Q1 2023
13 666
261
Q4 2022
12 911
261
Q3 2022
10 459
261
Q2 2022
11 414
261
Q1 2022
11 538
261
Q4 2021
18 987
260
Q3 2021
22 473
260
Q2 2021
20 579
260
Q1 2021
18 926
265
Q4 2020
15 511
253
Q3 2020
13 041
252
Q2 2020
9 787
248
Q1 2020
7 310
247
Q4 2019
4 778
245
Q3 2019
6 713
245
Q2 2019
4 793
243
Q1 2019
4 230
242
Q4 2018
3 780
239
Q3 2018
3 286
238
Q2 2018
3 405
238
Q1 2018
2 782
237
Q4 2017
2 592
232
Q3 2017
2 294
232
Q2 2017
2 964
232
