Börsvärde
Antal Aktier
Justera
Q2 2026
8 475
58
Q1 2026
8 180
58
Q4 2025
8 483
"58,1"
Q3 2025
9 547
"58,1"
Q2 2025
10 313
"58,2"
Q1 2025
12 135
"58,2"
Q4 2024
11 814
"58,1"
Q3 2024
10 753
58
Q2 2024
10 980
58
Q1 2024
8 377
58
Q4 2023
8 458
58
Q3 2023
7 838
58
Q2 2023
6 377
58
Q1 2023
5 600
58
Q4 2022
6 377
58
Q3 2022
6 481
58
Q2 2022
5 133
58
Q1 2022
6 626
58
Q4 2021
8 916
58
Q3 2021
10 887
58
Q2 2021
8 498
58
Q1 2021
8 371
58
Q4 2020
8 290
58
Q3 2020
7 078
58
Q2 2020
5 162
58
Q1 2020
3 716
58
Q4 2019
3 278
58
Q3 2019
4 243
58
Q2 2019
3 046
58
Q1 2019
3 730
58
Q4 2018
3 200
58
Q3 2018
3 223
58
Q2 2018
3 881
58
Q1 2018
3 716
58
Q4 2017
4 325
58
Q3 2017
4 855
58
Q2 2017
6 014
58
Q1 2017
6 869
58
Q4 2016
6 159
58
Q3 2016
5 420
58
Q2 2016
6 681
58
Q1 2016
5 391
58
