Börsvärde
Antal Aktier
Justera
Q1 2026
3 957
257
Q4 2025
3 500
257
Q3 2025
4 493
255
Q2 2025
4 292
254
Q1 2025
5 773
253
Q4 2024
5 172
250
Q3 2024
4 987
240
Q2 2024
6 519
216
Q1 2024
5 569
215
Q4 2023
4 427
218
Q3 2023
2 639
218
Q2 2023
1 963
218
Q1 2023
2 063
218
Q4 2022
2 569
218
Q3 2022
2 225
218
Q2 2022
1 668
218
Q1 2022
2 198
218
Q4 2021
2 377
191
Q3 2021
2 840
218
Q2 2021
2 914
218
Q1 2021
2 017
131
Q4 2020
1 695
102
Q3 2020
1 767
102
Q2 2020
1 337
102
Q1 2020
1 108
102
Q4 2019
804
102
Q3 2019
1 663
102
Q2 2019
2 334
102
Q1 2019
2 989
102
Q4 2018
2 073
102
Q3 2018
1 536
102
Q2 2018
2 498
102
Q1 2018
3 634
102
Q4 2017
3 696
102
Q3 2017
5 298
102
Q2 2017
6 527
102
Q1 2017
7 986
102
Q4 2016
7 197
102
Q3 2016
8 134
102
Q2 2016
8 061
102
Q1 2016
6 841
102
