Börsvärde
Antal Aktier
Justera
Q1 2026
7 400
106
Q4 2025
7 616
108
Q3 2025
10 853
108
Q2 2025
12 039
108
Q1 2025
11 349
108
Q4 2024
9 332
108
Q3 2024
8 879
108
Q2 2024
8 738
108
Q1 2024
7 638
108
Q4 2023
7 131
108
Q3 2023
5 987
108
Q2 2023
5 210
108
Q1 2023
5 182
108
Q4 2022
5 524
108
Q3 2022
6 375
108
Q2 2022
5 696
108
Q1 2022
6 590
108
Q4 2021
5 909
"97,7"
Q3 2021
6 388
"97,7"
Q2 2021
5 128
"97,7"
Q1 2021
5 147
"97,7"
Q4 2020
4 971
"97,7"
Q3 2020
5 841
"97,7"
Q2 2020
5 255
"97,7"
Q1 2020
5 401
"97,7"
Q4 2019
4 630
"97,7"
Q3 2019
5 225
"97,7"
Q2 2019
4 708
"97,7"
